核销ID,订单ID,老人ID,核销时间,核销方式,操作人
V000973,O000973,E0116,2026-01-05 08:44,手工核销,操作员2
V000974,O000974,E0264,2026-01-18 07:28,手工核销,操作员2
V000975,O000975,E0075,2026-02-20 12:30,人脸识别,系统
V000976,O000976,E0023,2026-01-17 18:56,人脸识别,系统
V000977,O000977,E0161,2026-03-07 13:34,人脸识别,系统
V000978,O000978,E0030,2026-03-12 18:06,人脸识别,系统
V000979,O000979,E0264,2026-05-20 19:30,人脸识别,系统
V000980,O000980,E0102,2025-12-06 18:44,手工核销,操作员5
V000981,O000981,E0222,2025-12-16 19:49,人脸识别,系统
V000982,O000982,E0051,2025-12-14 18:55,人脸识别,系统
V000983,O000983,E0094,2025-12-30 18:31,刷卡,系统
V000984,O000984,E0124,2026-03-20 11:29,手工核销,操作员1
V000985,O000985,E0128,2025-12-08 06:11,人脸识别,系统
V000986,O000986,E0248,2026-02-04 06:34,人脸识别,系统
V000987,O000987,E0268,2026-04-11 07:09,刷卡,系统
V000988,O000988,E0138,2026-02-22 06:25,人脸识别,系统
V000989,O000989,E0152,2026-03-30 08:04,人脸识别,系统
V000990,O000990,E0242,2026-01-22 18:22,刷卡,系统
V000991,O000991,E0297,2026-03-09 11:08,人脸识别,系统
V000992,O000992,E0211,2026-02-12 13:32,人脸识别,系统
V000993,O000993,E0206,2026-04-22 18:36,刷卡,系统
V000994,O000994,E0057,2026-03-10 13:29,人脸识别,系统
V000995,O000995,E0100,2026-04-08 07:32,人脸识别,系统
V000996,O000996,E0023,2026-04-29 18:01,刷卡,系统
V000997,O000997,E0055,2025-12-15 11:41,刷卡,系统
V000998,O000998,E0066,2025-12-22 12:03,刷卡,系统
V000999,O000999,E0265,2026-05-27 12:25,刷卡,系统
V001000,O001000,E0167,2026-01-17 13:29,人脸识别,系统
V001001,O001001,E0106,2026-03-27 18:34,刷卡,系统
V001002,O001002,E0095,2026-02-11 07:09,刷卡,系统
V001003,O001003,E0261,2026-03-30 17:30,刷卡,系统
V001004,O001004,E0092,2026-05-28 07:14,刷卡,系统
V001005,O001005,E0172,2025-12-17 11:20,人脸识别,系统
V001006,O001006,E0184,2026-03-16 17:05,人脸识别,系统
V001007,O001007,E0179,2026-02-21 18:00,人脸识别,系统
V001008,O001008,E0179,2026-03-14 12:56,人脸识别,系统
V001009,O001009,E0233,2026-03-01 06:09,人脸识别,系统
V001010,O001010,E0134,2026-05-28 17:01,人脸识别,系统
V001011,O001011,E0177,2026-05-14 06:55,手工核销,操作员3
V001012,O001012,E0136,2026-01-18 11:08,刷卡,系统
V001013,O001013,E0230,2026-01-28 18:16,刷卡,系统
V001014,O001014,E0210,2026-04-17 13:15,手工核销,操作员1
V001015,O001015,E0170,2025-12-30 08:01,手工核销,操作员2
V001016,O001016,E0190,2026-02-23 12:15,刷卡,系统
V001017,O001017,E0087,2025-12-21 17:34,人脸识别,系统
V001018,O001018,E0273,2026-01-03 13:58,人脸识别,系统
V001019,O001019,E0205,2026-02-11 17:56,刷卡,系统
V001020,O001020,E0216,2025-12-23 13:27,人脸识别,系统
V001021,O001021,E0087,2026-05-27 08:50,人脸识别,系统
V001022,O001022,E0164,2026-02-14 13:12,人脸识别,系统
V001023,O001023,E0215,2026-05-24 13:05,人脸识别,系统
V001024,O001024,E0140,2026-02-23 13:24,刷卡,系统
V001025,O001025,E0289,2026-02-22 11:58,人脸识别,系统
V001026,O001026,E0147,2026-04-13 17:38,人脸识别,系统
V001027,O001027,E0291,2026-05-27 18:25,人脸识别,系统
V001028,O001028,E0206,2026-03-19 06:43,手工核销,操作员3
V001029,O001029,E0127,2026-02-01 18:45,刷卡,系统
V001030,O001030,E0090,2025-12-12 12:53,人脸识别,系统
V001031,O001031,E0002,2026-05-18 06:14,人脸识别,系统
V001032,O001032,E0193,2026-05-08 08:01,人脸识别,系统
V001033,O001033,E0277,2025-12-02 11:21,人脸识别,系统
V001034,O001034,E0028,2026-04-23 11:41,手工核销,操作员1
V001035,O001035,E0196,2026-04-08 08:27,人脸识别,系统
V001036,O001036,E0223,2026-04-11 06:16,刷卡,系统
V001037,O001037,E0193,2026-01-16 06:22,人脸识别,系统
V001038,O001038,E0135,2026-01-21 17:14,人脸识别,系统
V001039,O001039,E0007,2026-01-16 19:37,刷卡,系统
V001040,O001040,E0150,2026-03-09 12:55,人脸识别,系统
V001041,O001041,E0107,2026-01-19 18:33,刷卡,系统
V001042,O001042,E0289,2026-01-14 11:29,人脸识别,系统
V001043,O001043,E0013,2026-01-11 19:00,刷卡,系统
V001044,O001044,E0061,2026-02-09 11:40,手工核销,操作员3
V001045,O001045,E0146,2026-01-26 12:15,刷卡,系统
V001046,O001046,E0234,2025-12-24 07:24,人脸识别,系统
V001047,O001047,E0118,2026-05-05 15:47,刷卡,系统
V001048,O001048,E0096,2026-03-24 06:45,人脸识别,系统
V001049,O001049,E0220,2026-01-13 11:57,刷卡,系统
V001050,O001050,E0163,2026-03-24 06:22,人脸识别,系统
V001051,O001051,E0274,2026-01-25 12:32,人脸识别,系统
V001052,O001052,E0193,2026-01-13 18:33,刷卡,系统
V001053,O001053,E0164,2026-03-06 13:08,刷卡,系统
V001054,O001054,E0210,2026-02-11 19:15,刷卡,系统
V001055,O001055,E0054,2026-01-03 12:36,人脸识别,系统
V001056,O001056,E0280,2025-12-14 12:49,人脸识别,系统
V001057,O001057,E0239,2025-12-17 11:47,人脸识别,系统
V001058,O001058,E0246,2026-04-04 19:04,人脸识别,系统
V001059,O001059,E0202,2026-02-17 07:48,人脸识别,系统
V001060,O001060,E0026,2026-04-24 13:41,手工核销,操作员5
V001061,O001061,E0062,2026-02-21 11:11,人脸识别,系统
V001062,O001062,E0270,2026-04-16 11:04,人脸识别,系统
V001063,O001063,E0140,2025-12-27 13:22,刷卡,系统
V001064,O001064,E0116,2026-05-26 11:07,刷卡,系统
V001065,O001065,E0248,2026-05-14 18:42,刷卡,系统
V001066,O001066,E0154,2026-05-05 19:34,刷卡,系统
V001067,O001067,E0254,2026-01-19 19:15,人脸识别,系统
V001068,O001068,E0101,2026-01-24 13:19,人脸识别,系统
V001069,O001069,E0049,2026-04-11 13:27,人脸识别,系统
V001070,O001070,E0277,2026-03-08 06:29,人脸识别,系统
V001071,O001071,E0176,2025-12-19 17:10,手工核销,操作员1
V001072,O001072,E0208,2026-01-06 12:49,刷卡,系统
V001073,O001073,E0299,2026-04-11 13:16,刷卡,系统
V001074,O001074,E0208,2026-01-06 18:09,人脸识别,系统
V001075,O001075,E0026,2026-05-28 11:23,人脸识别,系统
V001076,O001076,E0226,2026-05-09 12:54,人脸识别,系统
V001077,O001077,E0246,2026-05-22 06:30,人脸识别,系统
V001078,O001078,E0020,2026-03-22 12:10,刷卡,系统
V001079,O001079,E0233,2025-12-12 17:46,人脸识别,系统
V001080,O001080,E0254,2026-05-18 13:07,刷卡,系统
V001081,O001081,E0107,2026-01-25 13:30,人脸识别,系统
V001082,O001082,E0151,2026-02-18 08:36,刷卡,系统
V001083,O001083,E0159,2025-12-14 12:36,人脸识别,系统
V001084,O001084,E0180,2026-01-23 11:32,人脸识别,系统
V001085,O001085,E0082,2026-02-03 06:08,刷卡,系统
V001086,O001086,E0019,2026-03-26 13:45,人脸识别,系统
V001087,O001087,E0272,2026-01-27 11:58,刷卡,系统
V001088,O001088,E0246,2026-03-06 19:02,人脸识别,系统
V001089,O001089,E0070,2025-12-21 12:48,刷卡,系统
V001090,O001090,E0291,2025-12-04 19:12,刷卡,系统
V001091,O001091,E0251,2025-12-09 12:51,刷卡,系统
V001092,O001092,E0273,2026-04-06 13:27,人脸识别,系统
V001093,O001093,E0023,2026-01-15 18:51,人脸识别,系统
V001094,O001094,E0059,2025-12-12 08:23,人脸识别,系统
V001095,O001095,E0227,2025-12-28 12:09,人脸识别,系统
V001096,O001096,E0033,2025-12-30 13:41,人脸识别,系统
V001097,O001097,E0057,2026-03-04 12:36,人脸识别,系统
V001098,O001098,E0111,2026-01-29 11:14,人脸识别,系统
V001099,O001099,E0189,2026-03-10 08:41,人脸识别,系统
V001100,O001100,E0201,2026-02-09 13:27,刷卡,系统
V001101,O001101,E0267,2025-12-24 12:36,人脸识别,系统
V001102,O001102,E0035,2026-04-21 17:00,手工核销,操作员3
V001103,O001103,E0180,2026-03-21 06:12,人脸识别,系统
V001104,O001104,E0009,2026-01-13 12:58,人脸识别,系统
V001105,O001105,E0208,2026-03-18 12:03,人脸识别,系统
V001106,O001106,E0126,2026-03-12 08:55,刷卡,系统
V001107,O001107,E0240,2026-05-03 12:39,人脸识别,系统
V001108,O001108,E0271,2026-03-01 06:29,人脸识别,系统
V001109,O001109,E0214,2026-03-19 13:51,人脸识别,系统
V001110,O001110,E0011,2025-12-16 19:02,刷卡,系统
V001111,O001111,E0063,2026-03-20 17:19,人脸识别,系统
V001112,O001112,E0238,2025-12-05 12:53,人脸识别,系统
V001113,O001113,E0156,2026-05-09 18:34,手工核销,操作员1
V001114,O001114,E0299,2026-02-27 18:26,人脸识别,系统
V001115,O001115,E0296,2025-12-08 11:47,人脸识别,系统
V001116,O001116,E0099,2025-12-16 19:11,人脸识别,系统
V001117,O001117,E0212,2025-12-22 12:44,人脸识别,系统
V001118,O001118,E0213,2026-04-01 12:50,人脸识别,系统
V001119,O001119,E0179,2026-02-27 12:40,人脸识别,系统
V001120,O001120,E0012,2026-01-31 18:15,刷卡,系统
V001121,O001121,E0132,2025-12-30 13:31,人脸识别,系统
V001122,O001122,E0177,2026-04-19 07:50,刷卡,系统
V001123,O001123,E0147,2026-02-05 08:32,人脸识别,系统
V001124,O001124,E0094,2026-01-15 07:15,手工核销,操作员4
V001125,O001125,E0169,2026-01-12 13:28,人脸识别,系统
V001126,O001126,E0034,2025-12-21 18:26,刷卡,系统
V001127,O001127,E0060,2026-02-18 11:30,刷卡,系统
V001128,O001128,E0028,2026-01-01 06:50,人脸识别,系统
V001129,O001129,E0101,2025-12-08 17:58,刷卡,系统
V001130,O001130,E0129,2026-03-23 12:23,人脸识别,系统
V001131,O001131,E0128,2026-01-31 12:30,人脸识别,系统
V001132,O001132,E0084,2025-12-20 13:08,刷卡,系统
V001133,O001133,E0177,2026-04-25 19:44,人脸识别,系统
V001134,O001134,E0067,2026-03-11 13:35,刷卡,系统
V001135,O001135,E0297,2025-12-06 06:05,人脸识别,系统
V001136,O001136,E0179,2026-02-22 11:29,刷卡,系统
V001137,O001137,E0130,2026-03-18 18:25,人脸识别,系统
V001138,O001138,E0056,2026-05-06 11:39,人脸识别,系统
V001139,O001139,E0275,2025-12-04 06:06,人脸识别,系统
V001140,O001140,E0153,2025-12-29 08:07,人脸识别,系统
V001141,O001141,E0214,2026-05-20 11:58,刷卡,系统
V001142,O001142,E0182,2026-02-22 11:10,手工核销,操作员3
V001143,O001143,E0229,2026-05-11 12:02,人脸识别,系统
V001144,O001144,E0202,2026-03-10 19:03,人脸识别,系统
V001145,O001145,E0163,2026-02-09 23:32,刷卡,系统
V001146,O001146,E0227,2025-12-17 12:19,人脸识别,系统
V001147,O001147,E0261,2026-04-22 12:04,刷卡,系统
V001148,O001148,E0052,2026-03-30 08:33,人脸识别,系统
V001149,O001149,E0173,2026-05-17 19:13,人脸识别,系统
V001150,O001150,E0043,2025-12-08 13:12,人脸识别,系统
V001151,O001151,E0147,2026-04-12 07:48,人脸识别,系统
V001152,O001152,E0294,2026-05-27 19:44,人脸识别,系统
V001153,O001153,E0248,2026-03-09 18:52,人脸识别,系统
V001154,O001154,E0085,2026-02-04 07:23,人脸识别,系统
V001155,O001155,E0121,2026-01-23 08:29,刷卡,系统
V001156,O001156,E0181,2026-05-23 13:39,人脸识别,系统
V001157,O001157,E0275,2026-02-18 12:10,刷卡,系统
V001158,O001158,E0181,2026-04-18 18:08,人脸识别,系统
V001159,O001159,E0126,2026-04-03 13:55,刷卡,系统
V001160,O001160,E0012,2026-05-26 12:12,人脸识别,系统
V001161,O001161,E0069,2026-04-30 19:12,人脸识别,系统
V001162,O001162,E0074,2025-12-01 13:31,刷卡,系统
V001163,O001163,E0155,2025-12-05 11:06,人脸识别,系统
V001164,O001164,E0289,2026-01-04 13:10,手工核销,操作员2
V001165,O001165,E0168,2026-03-03 18:48,刷卡,系统
V001166,O001166,E0068,2026-03-29 11:41,人脸识别,系统
V001167,O001167,E0202,2026-01-23 13:00,人脸识别,系统
V001168,O001168,E0283,2025-12-03 06:27,刷卡,系统
V001169,O001169,E0057,2025-12-06 19:07,人脸识别,系统
V001170,O001170,E0116,2026-02-25 13:14,人脸识别,系统
V001171,O001171,E0216,2025-12-19 11:04,刷卡,系统
V001172,O001172,E0189,2026-01-25 19:21,人脸识别,系统
V001173,O001173,E0143,2025-12-02 18:19,刷卡,系统
V001174,O001174,E0138,2026-02-20 17:03,人脸识别,系统
V001175,O001175,E0101,2026-03-04 07:57,人脸识别,系统
V001176,O001176,E0034,2025-12-11 17:44,人脸识别,系统
V001177,O001177,E0071,2025-12-05 13:24,刷卡,系统
V001178,O001178,E0205,2026-05-23 07:15,人脸识别,系统
V001179,O001179,E0218,2026-04-18 13:39,刷卡,系统
V001180,O001180,E0187,2026-04-17 12:45,刷卡,系统
V001181,O001181,E0094,2026-01-10 07:26,人脸识别,系统
V001182,O001182,E0267,2025-12-17 12:28,刷卡,系统
V001183,O001183,E0226,2026-01-13 19:11,人脸识别,系统
V001184,O001184,E0235,2026-02-28 11:51,人脸识别,系统
V001185,O001185,E0056,2026-01-02 12:06,人脸识别,系统
V001186,O001186,E0181,2026-01-25 11:23,人脸识别,系统
V001187,O001187,E0224,2026-04-19 17:54,人脸识别,系统
V001188,O001188,E0230,2025-12-02 06:04,刷卡,系统
V001189,O001189,E0260,2025-12-01 11:46,人脸识别,系统
V001190,O001190,E0190,2026-03-31 13:41,刷卡,系统
V001191,O001191,E0206,2026-04-04 19:32,刷卡,系统
V001192,O001192,E0221,2026-01-02 07:37,人脸识别,系统
V001193,O001193,E0252,2026-03-13 12:39,刷卡,系统
V001194,O001194,E0124,2026-01-05 13:42,刷卡,系统
V001195,O001195,E0113,2026-04-28 19:05,刷卡,系统
V001196,O001196,E0266,2026-02-22 13:07,手工核销,操作员3
V001197,O001197,E0297,2026-05-13 11:21,刷卡,系统
V001198,O001198,E0052,2025-12-26 07:49,人脸识别,系统
V001199,O001199,E0279,2026-05-24 18:53,人脸识别,系统
V001200,O001200,E0051,2026-04-08 13:13,刷卡,系统
V001201,O001201,E0109,2026-05-15 13:08,人脸识别,系统
V001202,O001202,E0293,2026-04-21 11:12,刷卡,系统
V001203,O001203,E0215,2026-02-28 12:49,手工核销,操作员5
V001204,O001204,E0191,2026-01-15 13:31,人脸识别,系统
V001205,O001205,E0142,2026-01-11 13:13,人脸识别,系统
V001206,O001206,E0185,2026-04-14 18:34,人脸识别,系统
V001207,O001207,E0100,2026-01-24 11:24,刷卡,系统
V001208,O001208,E0043,2025-12-16 17:30,人脸识别,系统
V001209,O001209,E0167,2026-03-28 08:54,人脸识别,系统
V001210,O001210,E0286,2026-02-14 19:48,人脸识别,系统
V001211,O001211,E0007,2026-02-01 12:42,人脸识别,系统
V001212,O001212,E0037,2026-05-01 13:44,刷卡,系统
V001213,O001213,E0250,2025-12-24 12:51,刷卡,系统
V001214,O001214,E0269,2026-03-09 19:19,人脸识别,系统
V001215,O001215,E0154,2026-04-11 18:41,手工核销,操作员5
V001216,O001216,E0016,2026-01-11 11:36,人脸识别,系统
V001217,O001217,E0004,2026-03-06 11:06,刷卡,系统
V001218,O001218,E0203,2026-03-20 06:52,手工核销,操作员1
V001219,O001219,E0271,2026-02-08 11:09,人脸识别,系统
V001220,O001220,E0299,2025-12-28 11:05,人脸识别,系统
V001221,O001221,E0160,2026-04-05 13:24,人脸识别,系统
V001222,O001222,E0076,2026-03-02 13:49,人脸识别,系统
V001223,O001223,E0237,2026-01-09 19:05,人脸识别,系统
V001224,O001224,E0021,2026-05-28 19:44,刷卡,系统
V001225,O001225,E0231,2026-05-06 12:53,人脸识别,系统
V001226,O001226,E0038,2026-01-11 18:16,刷卡,系统
V001227,O001227,E0246,2026-03-28 08:21,人脸识别,系统
V001228,O001228,E0271,2025-12-05 18:22,人脸识别,系统
V001229,O001229,E0208,2026-03-11 06:28,刷卡,系统
V001230,O001230,E0168,2026-05-18 17:06,人脸识别,系统
V001231,O001231,E0060,2026-01-30 11:34,人脸识别,系统
V001232,O001232,E0219,2025-12-08 11:55,人脸识别,系统
V001233,O001233,E0039,2026-01-10 13:38,人脸识别,系统
V001234,O001234,E0102,2026-03-21 08:51,人脸识别,系统
V001235,O001235,E0278,2025-12-09 11:19,刷卡,系统
V001236,O001236,E0259,2026-05-06 13:25,人脸识别,系统
V001237,O001237,E0273,2026-05-15 18:28,刷卡,系统
V001238,O001238,E0175,2026-01-31 12:28,刷卡,系统
V001239,O001239,E0067,2026-01-23 13:06,人脸识别,系统
V001240,O001240,E0129,2026-05-29 12:33,人脸识别,系统
V001241,O001241,E0019,2026-03-14 13:04,刷卡,系统
V001242,O001242,E0131,2026-04-05 12:12,刷卡,系统
V001243,O001243,E0291,2026-01-03 17:05,人脸识别,系统
V001244,O001244,E0162,2026-05-14 12:31,人脸识别,系统
V001245,O001245,E0131,2026-05-26 06:35,人脸识别,系统
V001246,O001246,E0030,2026-01-11 13:32,人脸识别,系统
V001247,O001247,E0294,2025-12-14 12:42,人脸识别,系统
V001248,O001248,E0143,2026-01-02 13:58,刷卡,系统
V001249,O001249,E0288,2026-03-28 12:32,人脸识别,系统
V001250,O001250,E0063,2026-03-08 17:18,刷卡,系统
V001251,O001251,E0052,2026-03-02 11:40,刷卡,系统
V001252,O001252,E0190,2026-03-10 12:17,手工核销,操作员5
V001253,O001253,E0051,2026-02-25 07:13,手工核销,操作员1
V001254,O001254,E0201,2026-04-24 19:20,人脸识别,系统
V001255,O001255,E0078,2026-04-03 19:38,人脸识别,系统
V001256,O001256,E0077,2026-01-01 06:33,人脸识别,系统
V001257,O001257,E0096,2026-03-11 19:30,刷卡,系统
V001258,O001258,E0079,2025-12-22 13:16,人脸识别,系统
V001259,O001259,E0213,2026-03-04 11:06,人脸识别,系统
V001260,O001260,E0004,2025-12-10 17:20,手工核销,操作员2
V001261,O001261,E0105,2025-12-12 18:06,人脸识别,系统
V001262,O001262,E0205,2026-03-10 19:00,人脸识别,系统
V001263,O001263,E0274,2026-01-27 19:21,手工核销,操作员4
V001264,O001264,E0022,2026-03-11 17:21,人脸识别,系统
V001265,O001265,E0012,2026-02-02 07:22,人脸识别,系统
V001266,O001266,E0035,2025-12-19 11:27,手工核销,操作员2
V001267,O001267,E0164,2026-03-11 11:39,人脸识别,系统
V001268,O001268,E0171,2026-03-27 18:45,人脸识别,系统
V001269,O001269,E0075,2026-04-15 13:56,人脸识别,系统
V001270,O001270,E0153,2025-12-18 08:29,刷卡,系统
V001271,O001271,E0263,2026-01-09 17:44,刷卡,系统
V001272,O001272,E0135,2025-12-13 18:09,人脸识别,系统
V001273,O001273,E0293,2026-03-11 11:11,人脸识别,系统
V001274,O001274,E0037,2026-04-03 12:44,人脸识别,系统
V001275,O001275,E0185,2026-05-04 08:15,人脸识别,系统
V001276,O001276,E0249,2026-02-20 11:20,人脸识别,系统
V001277,O001277,E0193,2026-02-26 13:12,手工核销,操作员2
V001278,O001278,E0094,2026-03-15 18:46,人脸识别,系统
V001279,O001279,E0055,2026-04-09 08:03,人脸识别,系统
V001280,O001280,E0059,2025-12-16 11:36,人脸识别,系统
V001281,O001281,E0101,2025-12-14 13:29,人脸识别,系统
V001282,O001282,E0138,2026-04-07 12:25,人脸识别,系统
V001283,O001283,E0003,2026-04-24 12:13,人脸识别,系统
V001284,O001284,E0263,2026-01-29 17:36,人脸识别,系统
V001285,O001285,E0092,2025-12-17 17:58,人脸识别,系统
V001286,O001286,E0167,2026-01-14 12:24,人脸识别,系统
V001287,O001287,E0279,2026-01-07 18:38,人脸识别,系统
V001288,O001288,E0038,2026-04-03 13:26,人脸识别,系统
V001289,O001289,E0245,2026-03-14 11:13,刷卡,系统
V001290,O001290,E0083,2026-02-02 08:01,人脸识别,系统
V001291,O001291,E0228,2026-03-31 12:01,刷卡,系统
V001292,O001292,E0068,2025-12-06 06:32,刷卡,系统
V001293,O001293,E0129,2026-03-22 13:01,人脸识别,系统
V001294,O001294,E0216,2025-12-02 11:33,刷卡,系统
V001295,O001295,E0211,2026-01-18 11:52,人脸识别,系统
V001296,O001296,E0189,2025-12-21 06:24,刷卡,系统
V001297,O001297,E0249,2025-12-23 11:54,人脸识别,系统
V001298,O001298,E0138,2026-02-14 13:58,人脸识别,系统
V001299,O001299,E0247,2026-02-02 13:44,人脸识别,系统
V001300,O001300,E0050,2026-05-06 12:36,人脸识别,系统
V001301,O001301,E0192,2025-12-27 17:26,手工核销,操作员2
V001302,O001302,E0040,2026-04-13 08:25,人脸识别,系统
V001303,O001303,E0228,2026-04-28 11:51,刷卡,系统
V001304,O001304,E0220,2026-02-09 07:46,手工核销,操作员2
V001305,O001305,E0257,2026-03-17 07:21,人脸识别,系统
V001306,O001306,E0013,2026-05-18 17:51,手工核销,操作员4
V001307,O001307,E0137,2026-04-12 13:46,人脸识别,系统
V001308,O001308,E0140,2026-04-22 12:57,刷卡,系统
V001309,O001309,E0285,2026-04-28 18:06,人脸识别,系统
V001310,O001310,E0257,2026-01-27 07:12,人脸识别,系统
V001311,O001311,E0068,2026-04-11 13:47,人脸识别,系统
V001312,O001312,E0145,2026-04-14 18:50,刷卡,系统
V001313,O001313,E0214,2026-01-04 18:27,人脸识别,系统
V001314,O001314,E0237,2026-05-13 12:44,刷卡,系统
V001315,O001315,E0099,2026-03-31 13:55,人脸识别,系统
V001316,O001316,E0121,2026-04-22 19:27,刷卡,系统
V001317,O001317,E0163,2026-04-09 11:23,刷卡,系统
V001318,O001318,E0237,2026-03-30 06:34,人脸识别,系统
V001319,O001319,E0146,2025-12-05 12:54,人脸识别,系统
V001320,O001320,E0284,2026-02-09 11:32,刷卡,系统
V001321,O001321,E0046,2025-12-06 07:36,人脸识别,系统
V001322,O001322,E0126,2026-03-05 11:08,刷卡,系统
V001323,O001323,E0062,2026-05-09 17:49,刷卡,系统
V001324,O001324,E0001,2026-01-10 11:02,刷卡,系统
V001325,O001325,E0014,2026-05-19 06:51,人脸识别,系统
V001326,O001326,E0272,2026-02-13 12:01,刷卡,系统
V001327,O001327,E0145,2026-05-17 19:57,人脸识别,系统
V001328,O001328,E0248,2026-02-21 08:21,人脸识别,系统
V001329,O001329,E0280,2026-01-07 06:20,人脸识别,系统
V001330,O001330,E0053,2026-01-11 11:36,手工核销,操作员2
V001331,O001331,E0007,2026-05-14 07:23,手工核销,操作员3
V001332,O001332,E0179,2026-01-25 19:13,人脸识别,系统
V001333,O001333,E0011,2026-02-09 13:53,刷卡,系统
V001334,O001334,E0005,2026-01-24 12:32,刷卡,系统
V001335,O001335,E0208,2025-12-22 18:16,人脸识别,系统
V001336,O001336,E0129,2025-12-27 11:57,人脸识别,系统
V001337,O001337,E0246,2026-03-15 07:57,人脸识别,系统
V001338,O001338,E0090,2026-05-24 11:20,人脸识别,系统
V001339,O001339,E0177,2026-01-07 13:12,刷卡,系统
V001340,O001340,E0257,2026-03-22 08:43,人脸识别,系统
V001341,O001341,E0030,2026-01-08 11:50,人脸识别,系统
V001342,O001342,E0242,2026-04-22 13:43,人脸识别,系统
V001343,O001343,E0003,2026-03-29 12:39,人脸识别,系统
V001344,O001344,E0249,2026-01-29 11:10,人脸识别,系统
V001345,O001345,E0129,2026-04-15 17:01,人脸识别,系统
V001346,O001346,E0221,2026-01-13 17:36,刷卡,系统
V001347,O001347,E0056,2026-01-12 11:27,人脸识别,系统
V001348,O001348,E0025,2025-12-04 17:53,人脸识别,系统
V001349,O001349,E0239,2025-12-03 07:02,刷卡,系统
V001350,O001350,E0060,2026-05-22 06:14,手工核销,操作员3
V001351,O001351,E0228,2025-12-23 11:45,刷卡,系统
V001352,O001352,E0252,2026-04-01 11:23,刷卡,系统
V001353,O001353,E0257,2026-04-20 13:07,手工核销,操作员3
V001354,O001354,E0103,2026-02-22 11:05,刷卡,系统
V001355,O001355,E0269,2026-03-16 06:31,手工核销,操作员5
V001356,O001356,E0298,2026-02-02 12:40,刷卡,系统
V001357,O001357,E0175,2026-05-02 17:50,刷卡,系统
V001358,O001358,E0295,2026-04-04 11:34,人脸识别,系统
V001359,O001359,E0298,2026-01-21 08:55,人脸识别,系统
V001360,O001360,E0076,2026-01-17 19:12,手工核销,操作员5
V001361,O001361,E0218,2026-01-30 11:27,人脸识别,系统
V001362,O001362,E0104,2025-12-17 12:41,手工核销,操作员1
V001363,O001363,E0198,2026-01-09 12:03,人脸识别,系统
V001364,O001364,E0296,2025-12-04 19:57,人脸识别,系统
V001365,O001365,E0295,2026-02-27 19:30,刷卡,系统
V001366,O001366,E0133,2026-02-07 12:00,人脸识别,系统
V001367,O001367,E0059,2026-02-23 12:29,刷卡,系统
V001368,O001368,E0263,2025-12-26 11:07,人脸识别,系统
V001369,O001369,E0081,2026-01-09 06:39,手工核销,操作员1
V001370,O001370,E0143,2026-03-06 21:45,刷卡,系统
V001371,O001371,E0247,2026-03-27 12:52,人脸识别,系统
V001372,O001372,E0063,2026-04-15 06:58,人脸识别,系统
V001373,O001373,E0129,2026-02-11 11:13,人脸识别,系统
V001374,O001374,E0182,2026-01-14 12:43,手工核销,操作员2
V001375,O001375,E0277,2025-12-17 18:27,人脸识别,系统
V001376,O001376,E0172,2026-05-18 18:33,人脸识别,系统
V001377,O001377,E0159,2026-02-15 06:38,手工核销,操作员2
V001378,O001378,E0130,2026-04-16 17:03,手工核销,操作员2
V001379,O001379,E0163,2026-03-01 12:23,刷卡,系统
V001380,O001380,E0157,2026-03-16 08:26,刷卡,系统
V001381,O001381,E0037,2026-03-11 13:41,人脸识别,系统
V001382,O001382,E0125,2026-03-13 12:10,人脸识别,系统
V001383,O001383,E0182,2025-12-24 08:53,手工核销,操作员2
V001384,O001384,E0017,2026-02-11 11:22,人脸识别,系统
V001385,O001385,E0139,2026-03-31 13:41,人脸识别,系统
V001386,O001386,E0034,2025-12-12 08:31,人脸识别,系统
V001387,O001387,E0030,2026-04-18 13:58,人脸识别,系统
V001388,O001388,E0193,2026-01-04 11:49,刷卡,系统
V001389,O001389,E0119,2026-05-06 08:52,人脸识别,系统
V001390,O001390,E0049,2026-04-15 17:03,刷卡,系统
V001391,O001391,E0272,2025-12-17 07:18,刷卡,系统
V001392,O001392,E0102,2026-04-19 08:06,刷卡,系统
V001393,O001393,E0116,2026-03-03 08:32,人脸识别,系统
V001394,O001394,E0164,2026-03-19 12:13,人脸识别,系统
V001395,O001395,E0095,2026-01-19 13:12,刷卡,系统
V001396,O001396,E0089,2026-03-24 12:05,刷卡,系统
V001397,O001397,E0166,2025-12-11 13:58,人脸识别,系统
V001398,O001398,E0265,2026-01-06 18:18,人脸识别,系统
V001399,O001399,E0104,2025-12-11 08:54,人脸识别,系统
V001400,O001400,E0001,2026-03-09 13:08,人脸识别,系统
V001401,O001401,E0228,2026-01-24 08:34,刷卡,系统
V001402,O001402,E0090,2025-12-27 07:48,人脸识别,系统
V001403,O001403,E0161,2026-02-05 11:50,人脸识别,系统
V001404,O001404,E0083,2025-12-02 07:47,人脸识别,系统
V001405,O001405,E0060,2026-02-06 12:56,手工核销,操作员2
V001406,O001406,E0093,2026-04-25 17:25,刷卡,系统
V001407,O001407,E0272,2026-04-27 07:03,人脸识别,系统
V001408,O001408,E0178,2026-02-01 19:47,人脸识别,系统
V001409,O001409,E0070,2026-02-10 11:27,人脸识别,系统
V001410,O001410,E0039,2026-04-09 11:26,人脸识别,系统
V001411,O001411,E0144,2026-02-21 13:50,刷卡,系统
