订单ID,老人ID,餐品ID,下单日期,餐次,餐品单价,补贴抵扣,自付金额,订单来源,订餐渠道,退餐原因
O001154,E0085,M002,2026-02-04,早餐,8,8.0,0.0,老人主动选择,电话订餐,
O001155,E0121,M020,2026-01-23,早餐,12,6.7,5.3,老人主动选择,小程序,
O001156,E0181,M007,2026-05-23,午餐,12,12.0,0.0,家属代订,现场点餐,
O001157,E0275,M017,2026-02-18,午餐,15,6.7,8.3,老人主动选择,小程序,
O001158,E0181,M022,2026-04-18,晚餐,15,13.3,1.7,老人主动选择,小程序,
O001159,E0126,M005,2026-04-03,午餐,10,10.0,0.0,老人主动选择,现场点餐,
O001160,E0012,M011,2026-05-26,午餐,12,6.7,5.3,老人主动选择,小程序,
O001161,E0069,M022,2026-04-30,晚餐,8,6.7,1.3,家属代订,小程序,
O001162,E0074,M024,2025-12-01,午餐,15,3.3,11.7,老人主动选择,社区代办,
O001163,E0155,M011,2025-12-05,午餐,10,3.3,6.7,老人主动选择,社区代办,
O001164,E0289,M011,2026-01-04,午餐,15,3.3,11.7,老人主动选择,小程序,
O001165,E0168,M017,2026-03-03,晚餐,15,6.7,8.3,家属代订,电话订餐,
O001166,E0068,M019,2026-03-29,午餐,10,3.3,6.7,老人主动选择,电话订餐,
O001167,E0202,M027,2026-01-23,午餐,12,3.3,8.7,老人主动选择,电话订餐,
O001168,E0283,M029,2025-12-03,早餐,12,12.0,0.0,老人主动选择,社区代办,
O001169,E0057,M025,2025-12-06,晚餐,15,3.3,11.7,老人主动选择,现场点餐,
O001170,E0116,M028,2026-02-25,午餐,12,3.3,8.7,老人主动选择,现场点餐,
O001171,E0216,M008,2025-12-19,午餐,10,10.0,0.0,老人主动选择,小程序,
O001172,E0189,M020,2026-01-25,晚餐,12,12.0,0.0,食堂替换餐品,电话订餐,
O001173,E0143,M027,2025-12-02,晚餐,15,3.3,11.7,食堂替换餐品,电话订餐,
O001174,E0138,M014,2026-02-20,晚餐,15,6.7,8.3,家属代订,小程序,
O001175,E0101,M010,2026-03-04,早餐,10,6.7,3.3,老人主动选择,小程序,
O001176,E0034,M025,2025-12-11,晚餐,15,13.3,1.7,家属代订,小程序,
O001177,E0071,M007,2025-12-05,午餐,12,3.3,8.7,老人主动选择,小程序,
O001178,E0205,M002,2026-05-23,早餐,10,10.0,0.0,家属代订,小程序,
O001179,E0218,M017,2026-04-18,午餐,15,6.7,8.3,老人主动选择,小程序,
O001180,E0187,M001,2026-04-17,午餐,10,3.3,6.7,家属代订,小程序,
O001181,E0094,M013,2026-01-10,早餐,10,10.0,0.0,食堂替换餐品,电话订餐,
O001182,E0267,M019,2025-12-17,午餐,12,3.3,8.7,老人主动选择,电话订餐,
O001183,E0226,M029,2026-01-13,晚餐,12,6.7,5.3,老人主动选择,小程序,
O001184,E0235,M014,2026-02-28,午餐,8,6.7,1.3,家属代订,社区代办,
O001185,E0056,M026,2026-01-02,午餐,10,6.7,3.3,老人主动选择,电话订餐,
O001186,E0181,M018,2026-01-25,午餐,12,12.0,0.0,食堂替换餐品,现场点餐,
O001187,E0224,M020,2026-04-19,晚餐,15,6.7,8.3,老人主动选择,社区代办,
O001188,E0230,M014,2025-12-02,早餐,8,3.3,4.7,老人主动选择,小程序,
O001189,E0260,M015,2025-12-01,午餐,8,6.7,1.3,家属代订,电话订餐,健康原因退餐
O001190,E0190,M014,2026-03-31,午餐,15,6.7,8.3,老人主动选择,电话订餐,
O001191,E0206,M024,2026-04-04,晚餐,12,3.3,8.7,老人主动选择,小程序,
O001192,E0221,M005,2026-01-02,早餐,10,10.0,0.0,家属代订,小程序,
O001193,E0252,M016,2026-03-13,午餐,8,6.7,1.3,家属代订,现场点餐,
O001194,E0124,M005,2026-01-05,午餐,15,6.7,8.3,家属代订,小程序,
O001195,E0113,M022,2026-04-28,晚餐,15,13.3,1.7,家属代订,社区代办,
O001196,E0266,M013,2026-02-22,午餐,15,3.3,11.7,老人主动选择,现场点餐,
O001197,E0297,M028,2026-05-13,午餐,15,13.3,1.7,老人主动选择,电话订餐,
O001198,E0052,M016,2025-12-26,早餐,8,6.7,1.3,老人主动选择,小程序,
O001199,E0279,M015,2026-05-24,晚餐,10,6.7,3.3,食堂替换餐品,电话订餐,
O001200,E0051,M005,2026-04-08,午餐,12,3.3,8.7,老人主动选择,小程序,
O001201,E0109,M021,2026-05-15,午餐,15,6.7,8.3,老人主动选择,小程序,
O001202,E0293,M030,2026-04-21,午餐,15,3.3,11.7,食堂替换餐品,现场点餐,
O001203,E0215,M023,2026-02-28,午餐,10,3.3,6.7,食堂替换餐品,小程序,
O001204,E0191,M006,2026-01-15,午餐,10,3.3,6.7,家属代订,电话订餐,
O001205,E0142,M029,2026-01-11,午餐,12,3.3,8.7,老人主动选择,现场点餐,
O001206,E0185,M013,2026-04-14,晚餐,8,3.3,4.7,家属代订,小程序,
O001207,E0100,M016,2026-01-24,午餐,10,6.7,3.3,老人主动选择,电话订餐,
O001208,E0043,M030,2025-12-16,晚餐,8,6.7,1.3,家属代订,电话订餐,
O001209,E0167,M010,2026-03-28,早餐,8,6.7,1.3,老人主动选择,电话订餐,
O001210,E0286,M027,2026-02-14,晚餐,15,13.3,1.7,老人主动选择,现场点餐,
O001211,E0007,M002,2026-02-01,午餐,8,8.0,0.0,老人主动选择,社区代办,
O001212,E0037,M013,2026-05-01,午餐,15,3.3,11.7,老人主动选择,电话订餐,
O001213,E0250,M017,2025-12-24,午餐,15,6.7,8.3,家属代订,电话订餐,健康原因退餐
O001214,E0269,M001,2026-03-09,晚餐,12,12.0,0.0,家属代订,电话订餐,
O001215,E0154,M004,2026-04-11,晚餐,8,6.7,1.3,家属代订,现场点餐,
O001216,E0016,M018,2026-01-11,午餐,10,6.7,3.3,老人主动选择,现场点餐,
O001217,E0004,M006,2026-03-06,午餐,10,3.3,6.7,食堂替换餐品,小程序,
O001218,E0203,M028,2026-03-20,早餐,10,3.3,6.7,老人主动选择,小程序,
O001219,E0271,M012,2026-02-08,午餐,12,3.3,8.7,老人主动选择,社区代办,
O001220,E0299,M025,2025-12-28,午餐,15,15.0,0.0,老人主动选择,小程序,
O001221,E0160,M026,2026-04-05,午餐,15,3.3,11.7,老人主动选择,电话订餐,
O001222,E0076,M027,2026-03-02,午餐,10,6.7,3.3,老人主动选择,现场点餐,
O001223,E0237,M030,2026-01-09,晚餐,15,3.3,11.7,老人主动选择,小程序,
O001224,E0021,M026,2026-05-28,晚餐,15,6.7,8.3,食堂替换餐品,电话订餐,
O001225,E0231,M024,2026-05-06,午餐,12,3.3,8.7,食堂替换餐品,小程序,
O001226,E0038,M020,2026-01-11,晚餐,8,3.3,4.7,老人主动选择,社区代办,
O001227,E0246,M013,2026-03-28,早餐,8,6.7,1.3,老人主动选择,小程序,
O001228,E0271,M028,2025-12-05,晚餐,12,3.3,8.7,老人主动选择,电话订餐,
O001229,E0208,M002,2026-03-11,早餐,12,3.3,8.7,老人主动选择,电话订餐,
O001230,E0168,M017,2026-05-18,晚餐,15,6.7,8.3,老人主动选择,现场点餐,过于油腻
O001231,E0060,M023,2026-01-30,午餐,12,6.7,5.3,老人主动选择,小程序,
O001232,E0219,M010,2025-12-08,午餐,15,3.3,11.7,家属代订,电话订餐,
O001233,E0039,M019,2026-01-10,午餐,8,6.7,1.3,家属代订,小程序,
O001234,E0102,M030,2026-03-21,早餐,12,3.3,8.7,老人主动选择,小程序,
O001235,E0278,M022,2025-12-09,午餐,15,6.7,8.3,家属代订,现场点餐,
O001236,E0259,M005,2026-05-06,午餐,8,3.3,4.7,家属代订,小程序,
O001237,E0273,M021,2026-05-15,晚餐,8,3.3,4.7,老人主动选择,现场点餐,
O001238,E0175,M012,2026-01-31,午餐,10,6.7,3.3,老人主动选择,现场点餐,过于油腻
O001239,E0067,M018,2026-01-23,午餐,8,3.3,4.7,食堂替换餐品,社区代办,
O001240,E0129,M030,2026-05-29,午餐,12,12.0,0.0,家属代订,电话订餐,
O001241,E0019,M009,2026-03-14,午餐,12,12.0,0.0,老人主动选择,小程序,
O001242,E0131,M011,2026-04-05,午餐,15,3.3,11.7,家属代订,电话订餐,
O001243,E0291,M004,2026-01-03,晚餐,12,3.3,8.7,老人主动选择,社区代办,
O001244,E0162,M010,2026-05-14,午餐,8,8.0,0.0,家属代订,现场点餐,
O001245,E0131,M001,2026-05-26,早餐,15,3.3,11.7,老人主动选择,电话订餐,
O001246,E0030,M002,2026-01-11,午餐,8,8.0,0.0,老人主动选择,社区代办,
O001247,E0294,M009,2025-12-14,午餐,10,3.3,6.7,家属代订,现场点餐,
O001248,E0143,M023,2026-01-02,午餐,15,3.3,11.7,家属代订,社区代办,
O001249,E0288,M026,2026-03-28,午餐,10,6.7,3.3,老人主动选择,现场点餐,
O001250,E0063,M018,2026-03-08,晚餐,15,13.3,1.7,老人主动选择,现场点餐,
O001251,E0052,M016,2026-03-02,午餐,12,6.7,5.3,老人主动选择,现场点餐,
O001252,E0190,M023,2026-03-10,午餐,8,6.7,1.3,老人主动选择,小程序,
O001253,E0051,M014,2026-02-25,早餐,15,3.3,11.7,老人主动选择,社区代办,
O001254,E0201,M004,2026-04-24,晚餐,12,3.3,8.7,家属代订,小程序,
O001255,E0078,M026,2026-04-03,晚餐,12,6.7,5.3,老人主动选择,电话订餐,
O001256,E0077,M002,2026-01-01,早餐,12,3.3,8.7,家属代订,现场点餐,
O001257,E0096,M012,2026-03-11,晚餐,10,6.7,3.3,家属代订,现场点餐,
O001258,E0079,M020,2025-12-22,午餐,12,3.3,8.7,老人主动选择,现场点餐,糖分过高
O001259,E0213,M005,2026-03-04,午餐,15,13.3,1.7,家属代订,电话订餐,
O001260,E0004,M029,2025-12-10,晚餐,10,3.3,6.7,食堂替换餐品,小程序,
O001261,E0105,M030,2025-12-12,晚餐,8,6.7,1.3,老人主动选择,小程序,
O001262,E0205,M004,2026-03-10,晚餐,12,12.0,0.0,食堂替换餐品,电话订餐,
O001263,E0274,M015,2026-01-27,晚餐,15,3.3,11.7,家属代订,现场点餐,
O001264,E0022,M003,2026-03-11,晚餐,15,6.7,8.3,家属代订,小程序,
O001265,E0012,M022,2026-02-02,早餐,10,6.7,3.3,老人主动选择,电话订餐,
O001266,E0035,M017,2025-12-19,午餐,8,8.0,0.0,家属代订,小程序,
O001267,E0164,M008,2026-03-11,午餐,10,6.7,3.3,老人主动选择,现场点餐,
O001268,E0171,M012,2026-03-27,晚餐,12,3.3,8.7,家属代订,小程序,
O001269,E0075,M021,2026-04-15,午餐,8,8.0,0.0,家属代订,现场点餐,
O001270,E0153,M008,2025-12-18,早餐,8,8.0,0.0,老人主动选择,小程序,
O001271,E0263,M026,2026-01-09,晚餐,8,3.3,4.7,老人主动选择,小程序,
O001272,E0135,M020,2025-12-13,晚餐,10,6.7,3.3,老人主动选择,现场点餐,
O001273,E0293,M020,2026-03-11,午餐,15,3.3,11.7,老人主动选择,电话订餐,
O001274,E0037,M005,2026-04-03,午餐,10,3.3,6.7,食堂替换餐品,电话订餐,
O001275,E0185,M021,2026-05-04,早餐,15,3.3,11.7,老人主动选择,现场点餐,
O001276,E0249,M027,2026-02-20,午餐,10,3.3,6.7,老人主动选择,现场点餐,
O001277,E0193,M006,2026-02-26,午餐,15,13.3,1.7,老人主动选择,现场点餐,
O001278,E0094,M005,2026-03-15,晚餐,15,13.3,1.7,食堂替换餐品,现场点餐,
O001279,E0055,M021,2026-04-09,早餐,8,6.7,1.3,老人主动选择,电话订餐,
O001280,E0059,M029,2025-12-16,午餐,15,3.3,11.7,食堂替换餐品,小程序,
O001281,E0101,M008,2025-12-14,午餐,12,6.7,5.3,家属代订,小程序,
O001282,E0138,M022,2026-04-07,午餐,12,6.7,5.3,食堂替换餐品,社区代办,
O001283,E0003,M018,2026-04-24,午餐,15,6.7,8.3,老人主动选择,社区代办,
O001284,E0263,M004,2026-01-29,晚餐,15,3.3,11.7,老人主动选择,小程序,
O001285,E0092,M004,2025-12-17,晚餐,15,13.3,1.7,老人主动选择,小程序,
O001286,E0167,M005,2026-01-14,午餐,15,6.7,8.3,老人主动选择,小程序,
O001287,E0279,M015,2026-01-07,晚餐,8,6.7,1.3,家属代订,现场点餐,
O001288,E0038,M006,2026-04-03,午餐,12,3.3,8.7,老人主动选择,小程序,
O001289,E0245,M027,2026-03-14,午餐,8,6.7,1.3,老人主动选择,现场点餐,
O001290,E0083,M021,2026-02-02,早餐,12,3.3,8.7,家属代订,社区代办,
O001291,E0228,M016,2026-03-31,午餐,15,3.3,11.7,老人主动选择,社区代办,
O001292,E0068,M014,2025-12-06,早餐,12,3.3,8.7,老人主动选择,小程序,
O001293,E0129,M014,2026-03-22,午餐,12,12.0,0.0,老人主动选择,社区代办,
O001294,E0216,M016,2025-12-02,午餐,10,10.0,0.0,家属代订,现场点餐,
O001295,E0211,M027,2026-01-18,午餐,10,3.3,6.7,老人主动选择,小程序,
O001296,E0189,M022,2025-12-21,早餐,15,15.0,0.0,家属代订,电话订餐,
O001297,E0249,M024,2025-12-23,午餐,8,3.3,4.7,老人主动选择,现场点餐,
O001298,E0138,M004,2026-02-14,午餐,10,6.7,3.3,老人主动选择,社区代办,
O001299,E0247,M011,2026-02-02,午餐,15,13.3,1.7,家属代订,小程序,
O001300,E0050,M019,2026-05-06,午餐,8,6.7,1.3,家属代订,小程序,
O001301,E0192,M025,2025-12-27,晚餐,10,3.3,6.7,家属代订,电话订餐,
O001302,E0040,M019,2026-04-13,早餐,12,6.7,5.3,家属代订,社区代办,
O001303,E0228,M027,2026-04-28,午餐,10,3.3,6.7,老人主动选择,社区代办,
O001304,E0220,M008,2026-02-09,早餐,15,13.3,1.7,食堂替换餐品,小程序,
O001305,E0257,M010,2026-03-17,早餐,10,10.0,0.0,家属代订,小程序,
O001306,E0013,M028,2026-05-18,晚餐,10,10.0,0.0,家属代订,社区代办,
O001307,E0137,M005,2026-04-12,午餐,8,3.3,4.7,食堂替换餐品,现场点餐,
O001308,E0140,M016,2026-04-22,午餐,8,6.7,1.3,老人主动选择,社区代办,
O001309,E0285,M025,2026-04-28,晚餐,12,3.3,8.7,家属代订,现场点餐,
O001310,E0257,M003,2026-01-27,早餐,15,15.0,0.0,食堂替换餐品,小程序,
O001311,E0068,M026,2026-04-11,午餐,12,3.3,8.7,老人主动选择,现场点餐,
O001312,E0145,M010,2026-04-14,晚餐,12,3.3,8.7,老人主动选择,小程序,
O001313,E0214,M024,2026-01-04,晚餐,10,3.3,6.7,家属代订,现场点餐,
O001314,E0237,M030,2026-05-13,午餐,12,3.3,8.7,老人主动选择,电话订餐,
O001315,E0099,M029,2026-03-31,午餐,8,8.0,0.0,食堂替换餐品,社区代办,
O001316,E0121,M013,2026-04-22,晚餐,12,6.7,5.3,老人主动选择,社区代办,
O001317,E0163,M007,2026-04-09,午餐,15,6.7,8.3,家属代订,小程序,
O001318,E0237,M012,2026-03-30,早餐,12,3.3,8.7,老人主动选择,小程序,
O001319,E0146,M023,2025-12-05,午餐,15,15.0,0.0,老人主动选择,电话订餐,
O001320,E0284,M014,2026-02-09,午餐,15,6.7,8.3,食堂替换餐品,现场点餐,
O001321,E0046,M027,2025-12-06,早餐,12,3.3,8.7,家属代订,现场点餐,
O001322,E0126,M010,2026-03-05,午餐,12,12.0,0.0,老人主动选择,社区代办,
O001323,E0062,M009,2026-05-09,晚餐,12,6.7,5.3,老人主动选择,电话订餐,
O001324,E0001,M012,2026-01-10,午餐,15,3.3,11.7,家属代订,小程序,
O001325,E0014,M024,2026-05-19,早餐,8,6.7,1.3,家属代订,小程序,
O001326,E0272,M003,2026-02-13,午餐,10,3.3,6.7,家属代订,小程序,
O001327,E0145,M030,2026-05-17,晚餐,12,3.3,8.7,家属代订,现场点餐,
O001328,E0248,M013,2026-02-21,早餐,10,10.0,0.0,老人主动选择,社区代办,
O001329,E0280,M006,2026-01-07,早餐,12,6.7,5.3,食堂替换餐品,小程序,
O001330,E0053,M027,2026-01-11,午餐,15,3.3,11.7,家属代订,现场点餐,
O001331,E0007,M006,2026-05-14,早餐,15,15.0,0.0,老人主动选择,小程序,
O001332,E0179,M021,2026-01-25,晚餐,10,3.3,6.7,老人主动选择,小程序,
O001333,E0011,M019,2026-02-09,午餐,8,6.7,1.3,家属代订,电话订餐,
O001334,E0005,M025,2026-01-24,午餐,15,6.7,8.3,家属代订,电话订餐,
O001335,E0208,M007,2025-12-22,晚餐,10,3.3,6.7,家属代订,社区代办,
O001336,E0129,M004,2025-12-27,午餐,15,15.0,0.0,食堂替换餐品,电话订餐,
O001337,E0246,M022,2026-03-15,早餐,12,6.7,5.3,老人主动选择,小程序,
O001338,E0090,M005,2026-05-24,午餐,10,6.7,3.3,家属代订,现场点餐,
O001339,E0177,M001,2026-01-07,午餐,10,3.3,6.7,食堂替换餐品,社区代办,
O001340,E0257,M018,2026-03-22,早餐,12,12.0,0.0,老人主动选择,电话订餐,
O001341,E0030,M017,2026-01-08,午餐,10,10.0,0.0,老人主动选择,小程序,
O001342,E0242,M009,2026-04-22,午餐,12,3.3,8.7,家属代订,小程序,
O001343,E0003,M009,2026-03-29,午餐,8,6.7,1.3,食堂替换餐品,小程序,
O001344,E0249,M021,2026-01-29,午餐,12,3.3,8.7,老人主动选择,小程序,
O001345,E0129,M024,2026-04-15,晚餐,8,8.0,0.0,老人主动选择,社区代办,
O001346,E0221,M010,2026-01-13,晚餐,10,10.0,0.0,老人主动选择,小程序,
O001347,E0056,M020,2026-01-12,午餐,12,6.7,5.3,老人主动选择,电话订餐,
O001348,E0025,M017,2025-12-04,晚餐,10,3.3,6.7,老人主动选择,现场点餐,
O001349,E0239,M013,2025-12-03,早餐,8,6.7,1.3,家属代订,现场点餐,
O001350,E0060,M029,2026-05-22,早餐,15,6.7,8.3,食堂替换餐品,小程序,
O001351,E0228,M004,2025-12-23,午餐,15,3.3,11.7,家属代订,电话订餐,
O001352,E0252,M023,2026-04-01,午餐,15,6.7,8.3,老人主动选择,小程序,
O001353,E0257,M027,2026-04-20,午餐,15,15.0,0.0,食堂替换餐品,小程序,
O001354,E0103,M018,2026-02-22,午餐,15,15.0,0.0,家属代订,小程序,
O001355,E0269,M018,2026-03-16,早餐,8,8.0,0.0,老人主动选择,电话订餐,
O001356,E0298,M022,2026-02-02,午餐,15,6.7,8.3,老人主动选择,小程序,
O001357,E0175,M009,2026-05-02,晚餐,15,6.7,8.3,家属代订,电话订餐,
O001358,E0295,M003,2026-04-04,午餐,10,6.7,3.3,家属代订,小程序,
O001359,E0298,M007,2026-01-21,早餐,12,6.7,5.3,家属代订,社区代办,
O001360,E0076,M026,2026-01-17,晚餐,12,6.7,5.3,老人主动选择,电话订餐,过于油腻
O001361,E0218,M015,2026-01-30,午餐,12,6.7,5.3,家属代订,现场点餐,
O001362,E0104,M030,2025-12-17,午餐,12,6.7,5.3,老人主动选择,小程序,
O001363,E0198,M009,2026-01-09,午餐,8,3.3,4.7,家属代订,现场点餐,
O001364,E0296,M027,2025-12-04,晚餐,12,6.7,5.3,家属代订,电话订餐,
O001365,E0295,M029,2026-02-27,晚餐,10,6.7,3.3,老人主动选择,小程序,
O001366,E0133,M009,2026-02-07,午餐,8,8.0,0.0,老人主动选择,现场点餐,
O001367,E0059,M027,2026-02-23,午餐,15,3.3,11.7,老人主动选择,现场点餐,
O001368,E0263,M004,2025-12-26,午餐,10,3.3,6.7,老人主动选择,社区代办,
O001369,E0081,M018,2026-01-09,早餐,10,6.7,3.3,老人主动选择,现场点餐,
O001370,E0143,M017,2026-03-06,晚餐,15,3.3,11.7,家属代订,小程序,
O001371,E0247,M022,2026-03-27,午餐,15,13.3,1.7,家属代订,小程序,
O001372,E0063,M021,2026-04-15,早餐,10,10.0,0.0,家属代订,电话订餐,
O001373,E0129,M006,2026-02-11,午餐,8,8.0,0.0,家属代订,小程序,
O001374,E0182,M007,2026-01-14,午餐,15,13.3,1.7,家属代订,现场点餐,
O001375,E0277,M025,2025-12-17,晚餐,12,3.3,8.7,食堂替换餐品,电话订餐,
O001376,E0172,M010,2026-05-18,晚餐,10,6.7,3.3,老人主动选择,社区代办,
O001377,E0159,M010,2026-02-15,早餐,10,10.0,0.0,家属代订,电话订餐,
O001378,E0130,M027,2026-04-16,晚餐,15,3.3,11.7,老人主动选择,电话订餐,
O001379,E0163,M006,2026-03-01,午餐,15,6.7,8.3,老人主动选择,小程序,
O001380,E0157,M006,2026-03-16,早餐,12,6.7,5.3,家属代订,小程序,
O001381,E0037,M029,2026-03-11,午餐,12,3.3,8.7,老人主动选择,现场点餐,
O001382,E0125,M019,2026-03-13,午餐,12,3.3,8.7,家属代订,社区代办,
O001383,E0182,M029,2025-12-24,早餐,12,12.0,0.0,老人主动选择,电话订餐,
O001384,E0017,M008,2026-02-11,午餐,10,10.0,0.0,老人主动选择,现场点餐,
O001385,E0139,M009,2026-03-31,午餐,15,13.3,1.7,食堂替换餐品,电话订餐,
O001386,E0034,M001,2025-12-12,早餐,8,8.0,0.0,老人主动选择,社区代办,
O001387,E0030,M016,2026-04-18,午餐,15,13.3,1.7,老人主动选择,小程序,
O001388,E0193,M006,2026-01-04,午餐,15,13.3,1.7,老人主动选择,电话订餐,
O001389,E0119,M023,2026-05-06,早餐,12,3.3,8.7,食堂替换餐品,电话订餐,
O001390,E0049,M027,2026-04-15,晚餐,12,6.7,5.3,老人主动选择,电话订餐,
O001391,E0272,M008,2025-12-17,早餐,10,3.3,6.7,老人主动选择,小程序,
O001392,E0102,M015,2026-04-19,早餐,12,3.3,8.7,家属代订,电话订餐,
O001393,E0116,M012,2026-03-03,早餐,10,3.3,6.7,家属代订,电话订餐,
O001394,E0164,M010,2026-03-19,午餐,15,6.7,8.3,家属代订,小程序,
O001395,E0095,M016,2026-01-19,午餐,15,6.7,8.3,老人主动选择,现场点餐,
O001396,E0089,M015,2026-03-24,午餐,15,3.3,11.7,食堂替换餐品,现场点餐,
O001397,E0166,M011,2025-12-11,午餐,10,6.7,3.3,家属代订,现场点餐,
O001398,E0265,M024,2026-01-06,晚餐,10,10.0,0.0,老人主动选择,电话订餐,
O001399,E0104,M007,2025-12-11,早餐,10,6.7,3.3,老人主动选择,小程序,
O001400,E0001,M008,2026-03-09,午餐,12,3.3,8.7,食堂替换餐品,电话订餐,
O001401,E0228,M011,2026-01-24,早餐,8,3.3,4.7,家属代订,小程序,
O001402,E0090,M009,2025-12-27,早餐,12,6.7,5.3,家属代订,电话订餐,
O001403,E0161,M026,2026-02-05,午餐,8,6.7,1.3,家属代订,小程序,
O001404,E0083,M007,2025-12-02,早餐,12,3.3,8.7,家属代订,小程序,
O001405,E0060,M015,2026-02-06,午餐,15,6.7,8.3,老人主动选择,小程序,
O001406,E0093,M015,2026-04-25,晚餐,10,3.3,6.7,老人主动选择,小程序,
O001407,E0272,M016,2026-04-27,早餐,12,3.3,8.7,家属代订,社区代办,
O001408,E0178,M003,2026-02-01,晚餐,10,6.7,3.3,老人主动选择,社区代办,
O001409,E0070,M016,2026-02-10,午餐,12,6.7,5.3,老人主动选择,电话订餐,
O001410,E0039,M015,2026-04-09,午餐,15,6.7,8.3,家属代订,小程序,过于油腻
O001411,E0144,M025,2026-02-21,午餐,10,3.3,6.7,老人主动选择,社区代办,
O001412,E0257,M001,2026-01-11,午餐,15,15.0,0.0,老人主动选择,社区代办,
O001413,E0231,M014,2026-05-05,早餐,8,3.3,4.7,家属代订,现场点餐,
O001414,E0143,M024,2026-05-06,晚餐,10,3.3,6.7,家属代订,电话订餐,
O001415,E0050,M022,2026-03-17,午餐,12,6.7,5.3,老人主动选择,小程序,
O001416,E0098,M011,2025-12-28,晚餐,10,3.3,6.7,家属代订,小程序,
O001417,E0102,M003,2026-03-15,晚餐,8,3.3,4.7,家属代订,现场点餐,
O001418,E0051,M009,2026-03-22,早餐,8,3.3,4.7,老人主动选择,现场点餐,
O001419,E0137,M006,2026-04-12,午餐,12,3.3,8.7,老人主动选择,电话订餐,
O001420,E0039,M023,2025-12-15,早餐,15,6.7,8.3,老人主动选择,小程序,糖分过高
O001421,E0175,M016,2026-03-20,晚餐,10,6.7,3.3,家属代订,电话订餐,
O001422,E0103,M011,2026-02-11,晚餐,15,15.0,0.0,老人主动选择,现场点餐,
O001423,E0121,M018,2026-05-09,午餐,15,6.7,8.3,家属代订,现场点餐,
O001424,E0015,M017,2026-05-29,早餐,12,3.3,8.7,食堂替换餐品,电话订餐,
O001425,E0184,M017,2026-02-28,早餐,10,3.3,6.7,老人主动选择,小程序,
O001426,E0226,M003,2026-01-06,晚餐,8,6.7,1.3,老人主动选择,小程序,
O001427,E0104,M027,2026-04-22,晚餐,12,6.7,5.3,老人主动选择,现场点餐,
O001428,E0228,M019,2026-05-18,早餐,15,3.3,11.7,老人主动选择,现场点餐,
O001429,E0081,M024,2025-12-04,早餐,8,6.7,1.3,家属代订,小程序,
O001430,E0256,M023,2026-05-30,午餐,15,15.0,0.0,家属代订,小程序,
O001431,E0248,M015,2026-02-22,早餐,10,10.0,0.0,老人主动选择,现场点餐,
O001432,E0168,M010,2026-05-04,晚餐,15,6.7,8.3,老人主动选择,小程序,
O001433,E0270,M008,2026-04-28,午餐,8,3.3,4.7,老人主动选择,电话订餐,
O001434,E0271,M017,2026-01-29,午餐,10,3.3,6.7,食堂替换餐品,电话订餐,
O001435,E0166,M004,2025-12-09,午餐,12,6.7,5.3,家属代订,现场点餐,
O001436,E0071,M008,2026-02-09,午餐,15,3.3,11.7,家属代订,现场点餐,
O001437,E0090,M026,2026-05-24,午餐,10,6.7,3.3,老人主动选择,小程序,
O001438,E0109,M002,2025-12-31,晚餐,10,6.7,3.3,老人主动选择,电话订餐,
O001439,E0074,M023,2025-12-06,午餐,12,3.3,8.7,老人主动选择,小程序,
O001440,E0247,M008,2026-05-27,午餐,12,12.0,0.0,食堂替换餐品,现场点餐,
O001441,E0231,M030,2025-12-07,午餐,8,3.3,4.7,家属代订,现场点餐,
O001442,E0037,M025,2026-04-05,早餐,10,3.3,6.7,家属代订,小程序,健康原因退餐
O001443,E0154,M007,2026-02-21,早餐,10,6.7,3.3,家属代订,小程序,
O001444,E0096,M028,2025-12-28,午餐,8,6.7,1.3,老人主动选择,小程序,
O001445,E0056,M009,2025-12-10,午餐,15,6.7,8.3,老人主动选择,电话订餐,
O001446,E0240,M018,2025-12-27,午餐,10,10.0,0.0,老人主动选择,小程序,
O001447,E0089,M027,2026-04-20,晚餐,10,3.3,6.7,老人主动选择,现场点餐,
O001448,E0299,M017,2026-04-06,午餐,15,15.0,0.0,老人主动选择,现场点餐,
O001449,E0106,M001,2026-01-12,午餐,12,3.3,8.7,老人主动选择,电话订餐,
O001450,E0183,M027,2025-12-12,早餐,12,12.0,0.0,家属代订,现场点餐,
O001451,E0225,M012,2026-02-01,晚餐,12,3.3,8.7,食堂替换餐品,小程序,
O001452,E0221,M004,2026-02-08,午餐,8,8.0,0.0,食堂替换餐品,社区代办,
O001453,E0080,M017,2026-03-09,早餐,15,3.3,11.7,老人主动选择,小程序,盐分过高
O001454,E0279,M007,2026-05-13,午餐,12,6.7,5.3,老人主动选择,小程序,
O001455,E0103,M024,2026-02-09,午餐,8,8.0,0.0,家属代订,电话订餐,
O001456,E0013,M003,2026-03-03,晚餐,15,15.0,0.0,家属代订,电话订餐,
O001457,E0250,M030,2025-12-18,晚餐,12,6.7,5.3,食堂替换餐品,小程序,
O001458,E0288,M001,2026-04-25,午餐,10,6.7,3.3,食堂替换餐品,电话订餐,
O001459,E0069,M019,2026-04-11,晚餐,10,6.7,3.3,家属代订,小程序,
O001460,E0058,M002,2025-12-25,早餐,12,3.3,8.7,老人主动选择,现场点餐,
O001461,E0047,M006,2025-12-23,午餐,12,6.7,5.3,老人主动选择,电话订餐,盐分过高
